110.00, 163612.36, 718510.54, 1797.64, 713.43, 2.00, 0.00
111.00, 165409.28, 719220.81, 1796.19, 707.10, 2.00, 0.00
112.00, 167204.74, 719924.75, 1794.73, 700.79, 2.00, 0.00
113.00, 168998.75, 720622.40, 1793.27, 694.51, 2.00, 0.00
114.00, 170791.28, 721313.78, 1791.79, 688.24, 2.00, 0.00
115.00, 172582.32, 721998.89, 1790.31, 682.00, 2.00, 0.00
116.00, 174371.88, 722677.78, 1788.81, 675.78, 2.00, 0.00
117.00, 176159.94, 723350.45, 1787.31, 669.57, 2.00, 0.00
118.00, 177946.49, 724016.94, 1785.80, 663.39, 2.00, 0.00
119.00, 179731.53, 724677.25, 1784.27, 657.24, 2.00, 0.00
120.00, 181515.04, 725331.41, 1782.75, 651.10, 2.00, 0.00
121.00, 183297.02, 725979.45, 1781.21, 644.98, 2.00, 0.00
122.00, 185077.45, 726621.38, 1779.66, 638.88, 2.00, 0.00
123.00, 186856.34, 727257.22, 1778.11, 632.80, 2.00, 0.00
124.00, 188633.67, 727887.00, 1776.54, 626.75, 2.00, 0.00
125.00, 190409.42, 728510.72, 1774.97, 620.71, 2.00, 0.00
126.00, 192183.61, 729128.43, 1773.39, 614.70, 2.00, 0.00
127.00, 193956.21, 729740.12, 1771.81, 608.70, 2.00, 0.00
128.00, 195727.22, 730345.83, 1770.21, 602.72, 2.00, 0.00
129.00, 197496.63, 730945.57, 1768.61, 596.77, 2.00, 0.00
130.00, 199264.43, 731539.37, 1767.00, 590.83, 2.00, 0.00
131.00, 201030.62, 732127.24, 1765.38, 584.91, 2.00, 0.00
132.00, 202795.19, 732709.20, 1763.75, 579.01, 2.00, 0.00
133.00, 204558.13, 733285.27, 1762.12, 573.13, 2.00, 0.00
134.00, 206319.43, 733855.47, 1760.48, 567.27, 2.00, 0.00
135.00, 208079.08, 734419.82, 1758.83, 561.43, 2.00, 0.00
136.00, 209837.09, 734978.34, 1757.17, 555.61, 2.00, 0.00
137.00, 211593.43, 735531.05, 1755.51, 549.81, 2.00, 0.00
138.00, 213348.11, 736077.96, 1753.84, 544.02, 2.00, 0.00
139.00, 215101.11, 736619.10, 1752.16, 538.26, 2.00, 0.00
140.00, 216852.43, 737154.48, 1750.48, 532.51, 2.00, 0.00
141.00, 218602.06, 737684.12, 1748.79, 526.78, 2.00, 0.00
142.00, 220350.00, 738208.05, 1747.09, 521.07, 2.00, 0.00
143.00, 222096.24, 738726.27, 1745.38, 515.38, 2.00, 0.00
144.00, 223840.77, 739238.81, 1743.67, 509.70, 2.00, 0.00
145.00, 225583.58, 739745.68, 1741.95, 504.04, 2.00, 0.00
146.00, 227324.67, 740246.90, 1740.23, 498.41, 2.00, 0.00
147.00, 229064.03, 740742.49, 1738.49, 492.78, 2.00, 0.00
148.00, 230801.66, 741232.48, 1736.76, 487.18, 2.00, 0.00
149.00, 232537.54, 741716.86, 1735.01, 481.59, 2.00, 0.00
150.00, 234271.67, 742195.67, 1733.26, 476.03, 2.00, 0.00
151.00, 236004.05, 742668.92, 1731.50, 470.48, 2.00, 0.00
152.00, 237734.67, 743136.63, 1729.74, 464.94, 2.00, 0.00
153.00, 239463.52, 743598.81, 1727.97, 459.42, 2.00, 0.00
154.00, 241190.60, 744055.48, 1726.19, 453.92, 2.00, 0.00
155.00, 242915.90, 744506.66, 1724.41, 448.44, 2.00, 0.00
156.00, 244639.41, 744952.37, 1722.62, 442.98, 2.00, 0.00
157.00, 246361.13, 745392.62, 1720.82, 437.53, 2.00, 0.00
158.00, 248081.05, 745827.43, 1719.02, 432.09, 2.00, 0.00
159.00, 249799.16, 746256.82, 1717.21, 426.68, 2.00, 0.00
160.00, 251515.47, 746680.79, 1715.40, 421.28, 2.00, 0.00
161.00, 253229.96, 747099.38, 1713.58, 415.90, 2.00, 0.00
162.00, 254942.63, 747512.59, 1711.76, 410.53, 2.00, 0.00
163.00, 256653.47, 747920.44, 1709.93, 405.18, 2.00, 0.00
164.00, 258362.48, 748322.95, 1708.09, 399.84, 2.00, 0.00
165.00, 260069.65, 748720.14, 1706.25, 394.53, 2.00, 0.00
166.00, 261774.97, 749112.01, 1704.40, 389.22, 2.00, 0.00
167.00, 263478.44, 749498.59, 1702.55, 383.94, 2.00, 0.00
168.00, 265180.06, 749879.89, 1700.69, 378.67, 2.00, 0.00
169.00, 266879.82, 750255.93, 1698.82, 373.41, 2.00, 0.00
170.00, 268577.71, 750626.72, 1696.96, 368.17, 2.00, 0.00
171.00, 270273.73, 750992.27, 1695.08, 362.95, 2.00, 0.00
172.00, 271967.87, 751352.62, 1693.20, 357.74, 2.00, 0.00
173.00, 273660.13, 751707.76, 1691.32, 352.55, 2.00, 0.00
174.00, 275350.50, 752057.71, 1689.43, 347.37, 2.00, 0.00
175.00, 277038.98, 752402.50, 1687.53, 342.20, 2.00, 0.00
176.00, 278725.56, 752742.13, 1685.63, 337.06, 2.00, 0.00
177.00, 280410.23, 753076.62, 1683.72, 331.92, 2.00, 0.00
178.00, 282093.00, 753405.98, 1681.81, 326.81, 2.00, 0.00
179.00, 283773.86, 753730.24, 1679.90, 321.70, 2.00, 0.00
180.00, 285452.79, 754049.40, 1677.98, 316.62, 2.00, 0.00
181.00, 287129.81, 754363.47, 1676.05, 311.54, 2.00, 0.00
182.00, 288804.89, 754672.49, 1674.12, 306.48, 2.00, 0.00
183.00, 290478.04, 754976.45, 1672.18, 301.44, 2.00, 0.00
184.00, 292149.26, 755275.37, 1670.24, 296.41, 2.00, 0.00
185.00, 293818.53, 755569.27, 1668.30, 291.39, 2.00, 0.00
186.00, 295485.85, 755858.16, 1666.35, 286.39, 2.00, 0.00
187.00, 297151.22, 756142.06, 1664.39, 281.41, 2.00, 0.00
188.00, 298814.63, 756420.98, 1662.43, 276.43, 2.00, 0.00
189.00, 300476.09, 756694.93, 1660.47, 271.47, 2.00, 0.00
190.00, 302135.57, 756963.93, 1658.50, 266.53, 2.00, 0.00
191.00, 303793.09, 757228.00, 1656.53, 261.60, 2.00, 0.00
192.00, 305448.63, 757487.14, 1654.55, 256.68, 2.00, 0.00
193.00, 307102.19, 757741.37, 1652.57, 251.78, 2.00, 0.00
194.00, 308753.76, 757990.70, 1650.58, 246.89, 2.00, 0.00
195.00, 310403.35, 758235.15, 1648.59, 242.01, 2.00, 0.00
196.00, 312050.94, 758474.74, 1646.60, 237.15, 2.00, 0.00
197.00, 313696.54, 758709.46, 1644.60, 232.30, 2.00, 0.00
198.00, 315340.13, 758939.35, 1642.59, 227.47, 2.00, 0.00
199.00, 316981.72, 759164.41, 1640.58, 222.65, 2.00, 0.00
200.00, 318621.30, 759384.65, 1638.57, 217.84, 2.00, 0.00
201.00, 320258.86, 759600.09, 1636.55, 213.04, 2.00, 0.00
202.00, 321894.41, 759810.74, 1634.53, 208.26, 2.00, 0.00
203.00, 323527.93, 760016.61, 1632.51, 203.49, 2.00, 0.00
